year,branch,subject,unit,summary
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que1', 'summarizedAnswer': '{\n    ""summarized_answer"": ""An entrepreneur is a business founder who identifies opportunities, assumes risks, and efficiently uses resources to generate profit and contribute to economic growth. Key characteristics include: \\n\\n- **Innovation**: Introducing new or improved products/services.\\n- **Risk-taking**: Willingness to accept financial, professional, and personal risks.\\n- **Vision and Goal Orientation**: Clear long-term goals drive decision-making.\\n- **Resilience**: Overcoming hurdles and staying motivated.\\n- **Self-Confidence**: Belief in achieving goals and mobilizing resources.\\n- **Flexibility**: Adapting strategies to changing market conditions.\\n- **Leadership Skills**: Inspiring teams and creating a constructive work environment.\\n- **Persistence**: Continually striving to achieve goals despite obstacles.\\n- **Opportunity Identification**: Seeing prospects where others see problems.\\n- **Financial Acumen**: Understanding budgeting, forecasting, and resource management.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que2', 'summarizedAnswer': '{\n    ""summarized_answer"": ""- Entrepreneurship involves identifying and creating opportunities through innovation, often by establishing new businesses or ventures.\\n- It incorporates capital, labor, and knowledge to develop products or services that meet market demands.\\n- Driven by calculated risk-taking and responding to change for business or social outcomes.\\n- Key aspects include:\\n  - Innovation: Developing new ideas, products, or services to solve problems or meet unmet needs.\\n  - Risk-taking: Willingness to face monetary and personal risks in developing and managing new ventures.\\n  - Value creation: Delivering economic or social value by satisfying market needs.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que3', 'summarizedAnswer': '{\n    ""summarized_answer"": ""Entrepreneurship is crucial for: \\n- **Employment Generation**: New ventures create jobs, reducing unemployment. \\n- **Economic Development**: Enhances production, productivity, and wealth, improving public utilities. \\n- **Innovation and Competition**: Drives new products/services, fostering technological advancement. \\n- **Social Change**: Addresses social issues like poverty and healthcare, aiding societal development. \\n- **Diversity and Variety**: Offers unique products/services, catering to diverse consumer tastes. \\n- **Economic Resilience**: Strengthens economies, adaptable to market changes. \\n\\nScope of Entrepreneurship includes: \\n- **Small Business**: Local shops and services vital for community development. \\n- **Scalable Startups**: Rapid growth with venture capital, targeting expanding markets. \\n- **Social Entrepreneurship**: Balances social value with financial sustainability. \\n- **Corporate Entrepreneurship**: Intrapreneurship within large organizations for innovation. \\n- **Lifestyle Entrepreneurship**: Reflects entrepreneur\'s values, focusing on balanced growth. \\n- **Technology Entrepreneurship**: Develops tech solutions for modern consumer needs.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que4', 'summarizedAnswer': '```json\n{\n    ""summarized_answer"": ""Entrepreneurial competencies and traits are essential for recognizing opportunities, managing risks, and innovating to run successful businesses. Key competencies include: \\n- Opportunity Identification: Spotting market trends and gaps.\\n- Risk Management: Making informed decisions to minimize risks.\\n- Innovation and Creativity: Developing unique solutions.\\n- Strategic Planning: Setting clear goals and adapting plans.\\n- Networking: Building professional connections for resources and marketing.\\n- Decision Making: Weighing choices with limited information.\\n- Financial Management: Managing cash flow and budgeting.\\n- Leadership and People Management: Motivating teams towards goals.\\nKey traits include: \\n- Self-Motivation: Driven by personal goals.\\n- Resilience: Bouncing back from failures.\\n- Entrepreneurial Passion: Energizing and inspiring teams.\\n- Flexibility: Adapting to market changes.\\n- Integrity: Building trust with stakeholders.\\n- Vision: Providing direction and purpose.\\n- Risk-Tolerance: Handling uncertainty and taking calculated risks.""\n}\n```'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que5', 'summarizedAnswer': '```json\n{\n    ""summarized_answer"": ""Major competencies for superior entrepreneurial performance include: \\n\\n- **Opportunity Recognition**: Discovering business opportunities and unmet market needs, aligning with market trends.\\n- **Strategic Planning and Decision Making**: Setting actionable goals, identifying risks/resources, ensuring sustainable growth.\\n- **Networking Skills**: Building relations with mentors, investors, suppliers, and customers for resources and partnerships.\\n- **Financial Management**: Understanding budgeting, cash flow, and profit margins for smart resource allocation.\\n- **Problem-solving and Adaptability**: Facing challenges creatively, managing crises, and adjusting strategies.\\n- **Leadership**: Inspiring teams, creating a positive environment, and aligning team goals with business vision.\\n\\nThese competencies ensure innovation, sustainability, and growth, benefiting entrepreneurs and economic growth.""\n}\n```'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que6', 'summarizedAnswer': '```json\n{\n    ""summarized_answer"": ""Successful entrepreneurs exhibit key traits: \\n- **Passion**: Deep focus and dedication to their business idea, persisting through challenges. \\n- **Resilience**: Ability to recover from setbacks, learning from failures without losing direction. \\n- **Adaptability**: Flexibility to adjust strategies with changing market conditions. \\n- **Vision**: Clear, compelling long-term goals that inspire decision-making. \\n- **Risk Taking**: Comfort with calculated risks for potential rewards. \\n- **Self-Motivation**: Strong internal drive to set and achieve ambitious goals. \\n- **Problem-Solving**: Critical thinking and creativity to tackle issues innovatively. \\n- **Confidence**: Belief in their ideas and skills, fostering trust from others. \\n- **Customer Focus**: Understanding customer needs to create desirable products/services. \\n- **Strategic Working Ethic**: Commitment and discipline to work hard towards objectives. \\n- **Financial Acumen**: Proficiency in budgeting and financial management for business health. \\n- **Networking Ability**: Building connections for resources, support, and collaboration. \\nThese traits collectively enable innovation, effective leadership, and sustainable business success.""\n}\n```'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que7', 'summarizedAnswer': '{\n    ""summarized_answer"": ""Factors Affecting Entrepreneurial Development:\\n\\n- **Economic Environment**:\\n  - Market Condition: Influenced by demand, supply, competition, and economic growth.\\n  - Access to Finance: Availability of funds from banks, venture capital, and investors.\\n  - Inflation and Interest Rates: High inflation increases costs; low interest rates encourage borrowing.\\n\\n- **Political and Legal Environment**:\\n  - Government Policies: Tax incentives and grants support entrepreneurship.\\n  - Regulatory Laws: Licensing, labor, and environmental regulations impact business operations.\\n  - Political Stability: Peaceful environments boost business confidence.\\n\\n- **Socio-cultural Factors**:\\n  - Culture and Attitudes: Societal views on entrepreneurship encourage risk-taking.\\n  - Education and Skills: Quality training enhances entrepreneurial potential.\\n  - Networking and Support Systems: Access to mentorship and communities aids learning.\\n\\n- **Technological Factors**:\\n  - Innovation: Technological advancements create new business opportunities.\\n  - Digital Infrastructure: Internet and digital tools enhance marketing and communication.\\n  - Research and Development: Drives new ideas and product creation.\\n\\n- **Individual Characteristics**:\\n  - Personality Traits: Risk tolerance, self-confidence, and creativity are crucial.\\n  - Experience and Knowledge: Industry knowledge and experience aid decision-making.\\n  - Motivation and Goals: Driven by personal and societal objectives.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que8', 'summarizedAnswer': '```json\n{\n    ""summarized_answer"": ""Motivation is the impulse driving goal-directed behavior, crucial for entrepreneurs in risk-taking and vision pursuit. \\n\\nTypes of Motivation:\\n- Intrinsic: Driven by internal rewards like personal satisfaction and accomplishment.\\n- Extrinsic: Driven by external rewards such as money and recognition.\\n\\nMotivating Factors for Entrepreneurs:\\n- Personal Fulfillment: Turning passion into business and contributing meaningfully.\\n- Financial Security: Seeking wealth and financial stability for self and family.\\n- Freedom and Independence: Desire for autonomy and self-empowerment.\\n- Impact and Contribution: Addressing societal needs and challenges.\\n- Challenge and Growth: Overcoming challenges and continuous learning.\\n- Recognition and Achievement: Desire for recognition and accomplishment.\\n- Networking and Community: Building connections for support and resources.""\n}\n```'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que9', 'summarizedAnswer': '{\n    ""summarized_answer"": ""McClelland\'s Achievement Motivation Theory identifies three primary needs driving human motivation: achievement, affiliation, and power. \\n\\n- **Need for Achievement (nAch):** Involves setting challenging yet attainable goals, risk calculation, and seeking feedback for progress and success. \\n- **Need for Affiliation (nAff):** Focuses on forming friendships and teamwork, preferring cooperative and harmonious work environments. \\n- **Need for Power (nPow):** Desires to influence and lead, with a focus on decision-making and control, either for personal or organizational benefit.\\n\\nApplications include self-assessment for career alignment, employee motivation through tailored tasks and environments, and fostering entrepreneurial development by aligning with intrinsic motivation for challenging goals.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que10', 'summarizedAnswer': '{\n    ""summarized_answer"": ""- **Entrepreneurial Personality**: Focuses on individual traits like resilience, motivation, creativity, and risk-taking, essential for overcoming challenges and innovating. \\n- **Entrepreneurial Task**: Involves identifying and executing opportunities, market needs, innovation, strategy planning, flexibility, and problem-solving. \\n- **External Environment**: Success is influenced by economic, social, political, and technological factors. A supportive environment with policies and resources fosters growth. \\n- **Organizational Context**: Emphasizes the role of supportive structures, collaboration, defined roles, and innovation in established organizations for entrepreneurial and intrapreneurial development. \\n- These elements collectively form a framework impacting entrepreneurial success or failure.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que11', 'summarizedAnswer': '{\n    ""summarized_answer"": ""An intrapreneur is an employee within a large company who acts like an entrepreneur, driving new business ideas and innovation. Key characteristics include: \\n- **Liberty to Innovate**: Freedom to develop ideas, often isolated from regular workflows. \\n- **Risk Mitigation**: Operates with company support, sharing risks and reducing personal financial exposure. \\n- **Corporate Support**: Backed by management with access to resources like funding and infrastructure. \\n- **Focus on Growth**: Encourages innovation to keep the company competitive and improve processes.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que12', 'summarizedAnswer': '```json\n{\n    ""summarized_answer"": ""Critical elements in an intrapreneurial environment include: \\n- **Innovative Ideas**: Encouraging new ideas and staying updated with technology fosters innovative thinking. \\n- **Promote Experimentation**: Supports learning from failures and refining ideas into successful outcomes. \\n- **Availability of Resources**: Essential financial and human resources must be readily available for innovation. \\n- **Foster Collaboration**: Encourages diverse views and skills, enhancing creativity and effectiveness. \\n- **Reward System**: Motivates intrapreneurs through recognition and incentives, driving further innovation. \\n- **Top Management Support**: Provides authority and resources, crucial for executing intrapreneurial ideas successfully.""\n}\n```'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que13', 'summarizedAnswer': '{\n    ""summarized_answer"": ""Entrepreneurs can be classified based on various criteria: \\n\\n- **Economic Development**: \\n  - *Innovating Entrepreneurs*: Innovators creating new products/services.\\n  - *Adoptive Entrepreneurs*: Adapt others\' innovations for their markets.\\n  - *Fabian Entrepreneurs*: Risk-averse, prefer traditional methods.\\n  - *Drone Entrepreneurs*: Resist change, miss new opportunities.\\n\\n- **Type of Business**: \\n  - *Business Entrepreneurs*: Introduce new products/services.\\n  - *Trading Entrepreneurs*: Focus on buying and selling.\\n  - *Industrial Entrepreneurs*: Create products/services based on customer needs.\\n  - *Corporate Entrepreneurs*: Innovate within corporate settings.\\n  - *Agricultural Entrepreneurs*: Use technology to enhance agriculture.\\n\\n- **Technology Utilization**: \\n  - *Technical Entrepreneurs*: Focus on commercializing inventions.\\n  - *Non-technical Entrepreneurs*: Develop marketing plans without tech focus.\\n  - *Professional Entrepreneurs*: Form businesses but don\'t manage them.\\n\\n- **Motivation**: \\n  - *Pure Entrepreneurs*: Driven by psychological, economic, and ethical factors.\\n  - *Induced Entrepreneurs*: Motivated by government policies.\\n  - *Motivated Entrepreneurs*: Inspired by new production/sale opportunities.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que14', 'summarizedAnswer': '```json\n{\n    ""summarized_answer"": ""Entrepreneurial Development Programs (EDPs) are structured initiatives aimed at training individuals to start and run successful businesses. They are crucial for those lacking formal business experience, covering business planning, financial management, marketing strategies, and risk management. Objectives include: \\n- Skill Building: Impart practical skills like problem-solving, leadership, and communication.\\n- Entrepreneurial Mindset: Foster proactive, innovative thinking and confidence.\\n- Talent Identification: Identify and nurture entrepreneurial talent for feasible business models.\\n- Encourage Innovation: Promote creative thinking for competitive market solutions.\\n- Promote Economic Growth: Create jobs and stimulate regional economic development.\\n- Reduce Unemployment: Offer alternative career paths to alleviate unemployment.\\n- Support Financial Independence: Encourage financial planning for self-reliance in ventures.""\n}\n```'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que15', 'summarizedAnswer': '{\n    ""summarized_answer"": ""Stages of Entrepreneurial Development Programs (EDPs) are crucial for creating successful entrepreneurs and are divided into three phases:\\n\\n- **Pre-Training Stage**: \\n  - Focuses on screening and profiling potential entrepreneurs.\\n  - Involves selection of participants interested in business ventures.\\n  - Conducts resource and market analysis to determine business viability.\\n  - Organizes seminars and workshops for initial motivation.\\n\\n- **Training Stage**: \\n  - Core stage providing essential skills and information.\\n  - Covers business management skills, financial education, and legal knowledge.\\n  - Includes psychological and behavioral coaching to develop resilience and innovation.\\n\\n- **Post-Training Stage**: \\n  - Offers continuous support to entrepreneurs.\\n  - Provides mentorship and networking opportunities.\\n  - Assists in accessing funding from various sources.\\n  - Involves monitoring and follow-up to ensure progress and address challenges.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que16', 'summarizedAnswer': '{\n    ""summarized_answer"": ""- **National Small Industries Corporation (NSIC):** Promotes small industries in India through credit support via bank tie-ups, skill training in technical and business management, and marketing through government procurement schemes.\\n- **Small Industries Development Bank of India (SIDBI):** Supports MSMEs with financial products like loans and venture capital, advisory services for resource optimization, and startup support through collaborations.\\n- **National Institute for Entrepreneurship and Small Business Development (NIESBUD):** Offers entrepreneurship training, consultancy services, and conducts R&D on entrepreneurship trends and challenges.\\n- **Micro Units Development and Refinance Agency (MUDRA):** Provides credit support under PMMY with schemes like Shishu (up to ₹50,000), Kishor (up to ₹5 lakhs), and Tarun (up to ₹10 lakhs) loans for small units.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que17', 'summarizedAnswer': '{\n    ""summarized_answer"": ""- **PMEGP (Prime Minister\'s Employment Generation Programme):** Provides finance and subsidies to micro-enterprises, targeting resource-poor individuals in rural and urban areas to promote sustainable business and local employment.\\n- **Startup India Initiative:** Aims to foster innovation and expand the startup ecosystem with funding support, incubation, mentorship, and eased compliance for startups.\\n- **Stand-Up India Scheme:** Offers financial assistance to women entrepreneurs and SC/ST communities to start new ventures, promoting inclusive growth and entrepreneurship among underprivileged groups.\\n- **Skill India Mission:** Focuses on enhancing employability through vocational training, aligning with industry needs to enable youth to become entrepreneurs or integrate into existing industries.""\n}'}"
4,Computer Science Engineering,PME,Unit 1,"{'qid': 'que18', 'summarizedAnswer': '{\n    ""summarized_answer"": ""Problems faced by EDPs include: \\n\\n- **Limited Awareness**: Rural individuals often lack awareness of EDPs, missing out on supportive services for business enhancement.\\n- **Inadequate Funding**: Budget constraints limit training quality, reach, and access to digital tools, affecting program effectiveness.\\n- **Lack of Skills**: Skills provided may not align with industry demands, lacking emerging trends and technologies.\\n- **Poor After-Training Support**: Insufficient post-training support leads to challenges in sustaining businesses due to lack of mentoring and advisory services.\\n- **Regulatory Challenges**: New entrepreneurs face compliance, licensing, and tax issues, especially those from rural backgrounds.\\n- **Negligence of Customized Training**: Standardized training fails to meet specific needs, such as those of women balancing work and family or rural entrepreneurs needing local market information.""\n}'}"